target,raw_action,Receive Time,Generate Time,High Res Timestamp,Type,Threat/Content Type,Application,Source Zone,Destination Zone,Inbound Interface,Outbound Interface,IP Protocol,Source Port,Destination Port,Source Country,Destination Country,Threat/Content Name,Category,Severity,Direction,Subcategory of app,Category of app,Technology of app,Risk of app,SaaS of app,Rule
Drop,redacted_action,2026-01-01 00:00:00,2026-01-01 00:00:00,2026-01-01 00:00:00,redacted_type,threat_type_002,application_003,source_zone_003,destination_zone_003,inbound_interface_003,outbound_interface_missing,ip_protocol_002,source_port_087,destination_port_305,source_country_034,destination_country_011,threat_name_010,category_001,severity_004,direction_001,app_subcategory_005,app_category_003,app_technology_003,app_risk_001,app_saas_001,rule_context_missing
Drop,redacted_action,2026-01-01 00:00:01,2026-01-01 00:00:01,2026-01-01 00:00:01,redacted_type,threat_type_002,application_003,source_zone_003,destination_zone_003,inbound_interface_003,outbound_interface_missing,ip_protocol_002,source_port_056,destination_port_427,source_country_033,destination_country_011,threat_name_010,category_001,severity_004,direction_001,app_subcategory_005,app_category_003,app_technology_003,app_risk_001,app_saas_001,rule_context_missing
Drop,redacted_action,2026-01-01 00:00:02,2026-01-01 00:00:02,2026-01-01 00:00:02,redacted_type,threat_type_002,application_003,source_zone_003,destination_zone_003,inbound_interface_003,outbound_interface_missing,ip_protocol_002,source_port_252,destination_port_275,source_country_017,destination_country_011,threat_name_010,category_001,severity_004,direction_001,app_subcategory_005,app_category_003,app_technology_003,app_risk_001,app_saas_001,rule_context_missing
Drop,redacted_action,2026-01-01 00:00:03,2026-01-01 00:00:03,2026-01-01 00:00:03,redacted_type,threat_type_002,application_003,source_zone_003,destination_zone_003,inbound_interface_003,outbound_interface_missing,ip_protocol_001,source_port_001,destination_port_001,source_country_013,destination_country_011,threat_name_007,category_001,severity_004,direction_001,app_subcategory_005,app_category_003,app_technology_003,app_risk_001,app_saas_001,rule_context_missing
Drop,redacted_action,2026-01-01 00:00:04,2026-01-01 00:00:04,2026-01-01 00:00:04,redacted_type,threat_type_002,application_003,source_zone_003,destination_zone_003,inbound_interface_003,outbound_interface_missing,ip_protocol_001,source_port_001,destination_port_001,source_country_013,destination_country_011,threat_name_007,category_001,severity_004,direction_001,app_subcategory_005,app_category_003,app_technology_003,app_risk_001,app_saas_001,rule_context_missing
Allow,redacted_action,2026-01-01 00:00:05,2026-01-01 00:00:05,2026-01-01 00:00:05,redacted_type,threat_type_001,application_003,source_zone_003,destination_zone_001,inbound_interface_missing,outbound_interface_missing,ip_protocol_002,source_port_001,destination_port_001,source_country_014,destination_country_001,threat_name_028,category_001,severity_002,direction_001,app_subcategory_005,app_category_003,app_technology_003,app_risk_001,app_saas_001,rule_context_002
Drop,redacted_action,2026-01-01 00:00:06,2026-01-01 00:00:06,2026-01-01 00:00:06,redacted_type,threat_type_002,application_003,source_zone_003,destination_zone_003,inbound_interface_003,outbound_interface_missing,ip_protocol_002,source_port_087,destination_port_020,source_country_034,destination_country_011,threat_name_010,category_001,severity_004,direction_001,app_subcategory_005,app_category_003,app_technology_003,app_risk_001,app_saas_001,rule_context_missing
Drop,redacted_action,2026-01-01 00:00:07,2026-01-01 00:00:07,2026-01-01 00:00:07,redacted_type,threat_type_002,application_003,source_zone_003,destination_zone_003,inbound_interface_003,outbound_interface_missing,ip_protocol_002,source_port_087,destination_port_075,source_country_034,destination_country_011,threat_name_010,category_001,severity_004,direction_001,app_subcategory_005,app_category_003,app_technology_003,app_risk_001,app_saas_001,rule_context_missing
Drop,redacted_action,2026-01-01 00:00:08,2026-01-01 00:00:08,2026-01-01 00:00:08,redacted_type,threat_type_002,application_003,source_zone_003,destination_zone_003,inbound_interface_003,outbound_interface_missing,ip_protocol_002,source_port_056,destination_port_028,source_country_031,destination_country_011,threat_name_010,category_001,severity_004,direction_001,app_subcategory_005,app_category_003,app_technology_003,app_risk_001,app_saas_001,rule_context_missing
Block,redacted_action,2026-01-01 00:00:09,2026-01-01 00:00:09,2026-01-01 00:00:09,redacted_type,threat_type_003,application_001,source_zone_002,destination_zone_001,inbound_interface_002,outbound_interface_001,ip_protocol_003,source_port_095,destination_port_325,source_country_002,destination_country_002,threat_name_036,category_001,severity_001,direction_002,app_subcategory_002,app_category_002,app_technology_002,app_risk_002,app_saas_001,rule_context_003
