feature_set,split,bin_low,bin_high,count,accuracy,confidence
core,stratified_holdout,0.0,0.1,0,,
core,stratified_holdout,0.1,0.2,0,,
core,stratified_holdout,0.2,0.30000000000000004,0,,
core,stratified_holdout,0.30000000000000004,0.4,1,0.0,0.39463672041893005
core,stratified_holdout,0.4,0.5,0,,
core,stratified_holdout,0.5,0.6000000000000001,0,,
core,stratified_holdout,0.6000000000000001,0.7000000000000001,0,,
core,stratified_holdout,0.7000000000000001,0.8,4,1.0,0.7881977558135986
core,stratified_holdout,0.8,0.9,8,1.0,0.8752161264419556
core,stratified_holdout,0.9,1.0,35419,0.9999435331319348,0.9999517202377319
no_threat_descriptors,stratified_holdout,0.0,0.1,0,,
no_threat_descriptors,stratified_holdout,0.1,0.2,0,,
no_threat_descriptors,stratified_holdout,0.2,0.30000000000000004,0,,
no_threat_descriptors,stratified_holdout,0.30000000000000004,0.4,0,,
no_threat_descriptors,stratified_holdout,0.4,0.5,2,1.0,0.4761338233947754
no_threat_descriptors,stratified_holdout,0.5,0.6000000000000001,3,0.0,0.5630195736885071
no_threat_descriptors,stratified_holdout,0.6000000000000001,0.7000000000000001,23,0.782608695652174,0.6633045077323914
no_threat_descriptors,stratified_holdout,0.7000000000000001,0.8,11,0.7272727272727273,0.7303516864776611
no_threat_descriptors,stratified_holdout,0.8,0.9,12,1.0,0.8758268356323242
no_threat_descriptors,stratified_holdout,0.9,1.0,35381,0.9999152087278482,0.9999054670333862
minimal_context,stratified_holdout,0.0,0.1,0,,
minimal_context,stratified_holdout,0.1,0.2,0,,
minimal_context,stratified_holdout,0.2,0.30000000000000004,0,,
minimal_context,stratified_holdout,0.30000000000000004,0.4,0,,
minimal_context,stratified_holdout,0.4,0.5,5,0.6,0.4594861567020416
minimal_context,stratified_holdout,0.5,0.6000000000000001,7,0.5714285714285714,0.5221344232559204
minimal_context,stratified_holdout,0.6000000000000001,0.7000000000000001,19,0.47368421052631576,0.6570038795471191
minimal_context,stratified_holdout,0.7000000000000001,0.8,18,0.7222222222222222,0.7301197648048401
minimal_context,stratified_holdout,0.8,0.9,28,0.8571428571428571,0.8591602444648743
minimal_context,stratified_holdout,0.9,1.0,35355,0.9999151463725074,0.999884843826294
core,chronological_holdout,0.0,0.1,0,,
core,chronological_holdout,0.1,0.2,0,,
core,chronological_holdout,0.2,0.30000000000000004,0,,
core,chronological_holdout,0.30000000000000004,0.4,0,,
core,chronological_holdout,0.4,0.5,1,0.0,0.4694644808769226
core,chronological_holdout,0.5,0.6000000000000001,21,0.5238095238095238,0.585477888584137
core,chronological_holdout,0.6000000000000001,0.7000000000000001,10,0.4,0.6442005634307861
core,chronological_holdout,0.7000000000000001,0.8,31,0.5483870967741935,0.7705482840538025
core,chronological_holdout,0.8,0.9,52,0.17307692307692307,0.8527294993400574
core,chronological_holdout,0.9,1.0,35317,0.9953846589461166,0.9986437559127808
no_threat_descriptors,chronological_holdout,0.0,0.1,0,,
no_threat_descriptors,chronological_holdout,0.1,0.2,0,,
no_threat_descriptors,chronological_holdout,0.2,0.30000000000000004,0,,
no_threat_descriptors,chronological_holdout,0.30000000000000004,0.4,0,,
no_threat_descriptors,chronological_holdout,0.4,0.5,17,0.058823529411764705,0.4340890347957611
no_threat_descriptors,chronological_holdout,0.5,0.6000000000000001,95,0.6631578947368421,0.5510171055793762
no_threat_descriptors,chronological_holdout,0.6000000000000001,0.7000000000000001,88,0.48863636363636365,0.6435002684593201
no_threat_descriptors,chronological_holdout,0.7000000000000001,0.8,119,0.7310924369747899,0.7443714737892151
no_threat_descriptors,chronological_holdout,0.8,0.9,186,0.7903225806451613,0.8572883009910583
no_threat_descriptors,chronological_holdout,0.9,1.0,34927,0.9930998940647636,0.9987015128135681
minimal_context,chronological_holdout,0.0,0.1,0,,
minimal_context,chronological_holdout,0.1,0.2,0,,
minimal_context,chronological_holdout,0.2,0.30000000000000004,0,,
minimal_context,chronological_holdout,0.30000000000000004,0.4,0,,
minimal_context,chronological_holdout,0.4,0.5,17,0.29411764705882354,0.4329228401184082
minimal_context,chronological_holdout,0.5,0.6000000000000001,122,0.7295081967213115,0.5307756066322327
minimal_context,chronological_holdout,0.6000000000000001,0.7000000000000001,88,0.6136363636363636,0.6605861783027649
minimal_context,chronological_holdout,0.7000000000000001,0.8,124,0.7338709677419355,0.7379868626594543
minimal_context,chronological_holdout,0.8,0.9,187,0.6042780748663101,0.8489182591438293
minimal_context,chronological_holdout,0.9,1.0,34894,0.9929787355992434,0.9988142848014832
