run_id,target,Application,Direction,Source Zone,Destination Zone,Category of app,predicted_action,confidence,mismatch,reset_related,low_confidence_bottom_5pct
stratified_holdout__core,Drop,dns-base,client-to-server,LAN,DMZ,networking,Drop,0.99942183,False,False,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.9998728,False,True,True
stratified_holdout__core,Deny,dns-base,server-to-client,DMZ,WAN,networking,Deny,0.9998832,False,False,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.99993014,False,True,True
stratified_holdout__core,Reset-Both,ssl,client-to-server,WAN,WAF,networking,Reset-Both,0.9990701,False,True,True
stratified_holdout__core,Deny,dns-base,server-to-client,DMZ,WAN,networking,Deny,0.9998734,False,False,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.99993014,False,True,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.99995065,False,True,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.9999279,False,True,True
stratified_holdout__core,Reset-Server,web-browsing,client-to-server,WAN,DMZ,general-internet,Reset-Server,0.78446615,False,True,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Drop,dns-base,client-to-server,LAN,DMZ,networking,Drop,0.99950886,False,False,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,WAN,unknown,Allow,0.9945964,False,False,True
stratified_holdout__core,Reset-Server,web-browsing,client-to-server,WAN,WAF,general-internet,Reset-Server,0.9998888,False,True,True
stratified_holdout__core,Deny,dns-base,server-to-client,LAN,DMZ,networking,Deny,0.99994254,False,False,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.9999279,False,True,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.99993014,False,True,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.9999304,False,True,True
stratified_holdout__core,Drop,dns-base,client-to-server,LAN,DMZ,networking,Drop,0.99950063,False,False,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.9999304,False,True,True
stratified_holdout__core,Deny,dns-base,server-to-client,LAN,DMZ,networking,Deny,0.99995685,False,False,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Deny,dns-base,server-to-client,DMZ,WAN,networking,Deny,0.99988234,False,False,True
stratified_holdout__core,Reset-Both,web-browsing,client-to-server,LAN,WAN,general-internet,Reset-Both,0.9993511,False,True,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.99992764,False,True,True
stratified_holdout__core,Reset-Server,web-browsing,client-to-server,WAN,DMZ,general-internet,Reset-Server,0.99869955,False,True,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Reset-Server,web-browsing,client-to-server,WAN,WAF,general-internet,Reset-Server,0.9984114,False,True,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.99988353,False,True,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.9999304,False,True,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.9999279,False,True,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.99993014,False,True,True
stratified_holdout__core,Deny,dns-base,server-to-client,DMZ,WAN,networking,Deny,0.9998822,False,False,True
stratified_holdout__core,Deny,dns-base,server-to-client,DMZ,WAN,networking,Deny,0.99984336,False,False,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.9999279,False,True,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.99992764,False,True,True
stratified_holdout__core,Deny,dns-base,server-to-client,DMZ,WAN,networking,Deny,0.9998822,False,False,True
stratified_holdout__core,Drop,dns-base,client-to-server,LAN,DMZ,networking,Drop,0.99942183,False,False,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Drop,web-browsing,client-to-server,WAN,DMZ,general-internet,Drop,0.9994648,False,False,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Drop,dns-base,client-to-server,LAN,DMZ,networking,Drop,0.99938655,False,False,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.9999243,False,True,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.99992764,False,True,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Deny,dns-base,server-to-client,DMZ,WAN,networking,Deny,0.99987257,False,False,True
stratified_holdout__core,Deny,dns-base,server-to-client,LAN,DMZ,networking,Deny,0.99995685,False,False,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,WAN,unknown,Allow,0.9945964,False,False,True
stratified_holdout__core,Deny,dns-base,server-to-client,DMZ,WAN,networking,Deny,0.999882,False,False,True
stratified_holdout__core,Reset-Both,web-browsing,client-to-server,LAN,WAN,general-internet,Reset-Both,0.9993511,False,True,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,WAN,unknown,Allow,0.9945964,False,False,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Reset-Both,web-browsing,client-to-server,LAN,WAN,general-internet,Reset-Both,0.9991473,False,True,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Deny,dns-base,server-to-client,LAN,DMZ,networking,Deny,0.99995685,False,False,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,WAN,unknown,Allow,0.9945964,False,False,True
stratified_holdout__core,Reset-Server,web-browsing,client-to-server,WAN,WAF,general-internet,Reset-Server,0.9982626,False,True,True
stratified_holdout__core,Drop,dns-base,client-to-server,LAN,DMZ,networking,Drop,0.9993998,False,False,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Drop,web-browsing,client-to-server,WAN,WAF,general-internet,Drop,0.99913883,False,False,True
stratified_holdout__core,Deny,dns-base,server-to-client,DMZ,WAN,networking,Deny,0.9998822,False,False,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.9999279,False,True,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Reset-Both,web-browsing,client-to-server,LAN,WAN,general-internet,Reset-Both,0.9993511,False,True,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.99993014,False,True,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.9999279,False,True,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.99993014,False,True,True
stratified_holdout__core,Drop,web-browsing,client-to-server,LAN,WAN,general-internet,Drop,0.9932943,False,False,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.99984896,False,True,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.9999279,False,True,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.9999279,False,True,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.9999304,False,True,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.9999325,False,True,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Deny,dns-base,server-to-client,DMZ,WAN,networking,Deny,0.9998734,False,False,True
stratified_holdout__core,Reset-Both,ssl,client-to-server,WAN,DMZ,networking,Reset-Both,0.9990175,False,True,True
stratified_holdout__core,Drop,dns-base,client-to-server,DMZ,WAN,networking,Drop,0.9973385,False,False,True
stratified_holdout__core,Reset-Server,web-browsing,client-to-server,WAN,DMZ,general-internet,Reset-Server,0.99916816,False,True,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,WAN,unknown,Allow,0.9945964,False,False,True
stratified_holdout__core,Deny,dns-base,server-to-client,DMZ,WAN,networking,Deny,0.99987483,False,False,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Reset-Server,web-browsing,client-to-server,WAN,DMZ,general-internet,Reset-Server,0.98340523,False,True,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.99995065,False,True,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.99983335,False,True,True
stratified_holdout__core,Deny,dns-base,server-to-client,LAN,DMZ,networking,Deny,0.99995446,False,False,True
stratified_holdout__core,Deny,dns-base,server-to-client,DMZ,WAN,networking,Deny,0.9998822,False,False,True
stratified_holdout__core,Reset-Server,web-browsing,client-to-server,WAN,DMZ,general-internet,Reset-Server,0.9860724,False,True,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.999918,False,True,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.9999325,False,True,True
stratified_holdout__core,Allow,not-applicable,client-to-server,WAN,DMZ,unknown,Allow,0.9998759,False,False,True
stratified_holdout__core,Reset-Server,web-browsing,client-to-server,WAN,WAF,general-internet,Reset-Server,0.99985445,False,True,True
stratified_holdout__core,Deny,dns-base,server-to-client,LAN,DMZ,networking,Deny,0.99995685,False,False,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.99986446,False,True,True
stratified_holdout__core,Reset-Both,web-browsing,client-to-server,LAN,WAN,general-internet,Reset-Both,0.9991351,False,True,True
stratified_holdout__core,Deny,dns-base,server-to-client,LAN,DMZ,networking,Deny,0.9997291,False,False,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.9999279,False,True,True
stratified_holdout__core,Reset-Both,json-rpc,client-to-server,LAN,WAN,networking,Reset-Both,0.99993014,False,True,True
