context_key,records,nonzero_classes,dominant_class,dominant_count,dominant_fraction,entropy_bits,normalized_entropy,records_not_in_dominant_class,class_Allow,class_Deny,class_Drop,class_Reset-Both,class_Reset-Server
__MISSING_RULE__,160276,2,Drop,159994,0.9982405350769922,0.01863638027610054,0.008026252112257852,282,282,0,159994,0,0
rule_context_01,5953,2,Deny,5930,0.9961364018142114,0.0365331940912449,0.015733990286644576,23,0,5930,23,0,0
rule_context_02,4739,2,Deny,4257,0.8982907786452838,0.47439039941851124,0.2043088244046266,482,0,4257,482,0,0
rule_context_03,2688,2,Reset-Both,2668,0.9925595238095238,0.06330136784638674,0.027262415225419594,20,0,0,20,2668,0
rule_context_04,2220,1,Allow,2220,1.0,-0.0,-0.0,0,2220,0,0,0,0
rule_context_05,647,3,Reset-Server,414,0.6398763523956723,1.302904640739374,0.5611304861714844,233,0,0,117,116,414
rule_context_06,455,3,Reset-Server,286,0.6285714285714286,1.3229566892923408,0.5697664334245967,169,0,0,82,87,286
rule_context_07,113,3,Reset-Server,52,0.46017699115044247,1.3988800091958382,0.60246482751814,61,0,0,48,13,52
rule_context_08,22,3,Reset-Server,14,0.6363636363636364,1.292727214755173,0.5567473073785619,8,0,0,5,3,14
rule_context_09,17,1,Drop,17,1.0,-0.0,-0.0,0,0,0,17,0,0
rule_context_10,11,2,Reset-Both,7,0.6363636363636364,0.9456603046006401,0.4072737250920402,4,0,0,0,7,4
rule_context_11,8,1,Reset-Both,8,1.0,-0.0,-0.0,0,0,0,0,8,0
rule_context_12,5,2,Reset-Server,4,0.8,0.7219280948873623,0.31091750708257115,1,0,0,0,1,4
rule_context_13,1,1,Reset-Server,1,1.0,-0.0,-0.0,0,0,0,0,0,1
rule_context_14,1,1,Reset-Server,1,1.0,-0.0,-0.0,0,0,0,0,0,1
