feature_set,rule_group,true,Allow,Reset-Both,Deny,Drop,Reset-Server
core,__MISSING_RULE__,Allow,282.0,0.0,,,
core,__MISSING_RULE__,Drop,159991.0,3.0,,,
core,rule_context_01,Deny,,555.0,5375.0,,
core,rule_context_01,Drop,,23.0,0.0,,
core,rule_context_02,Deny,,,4257.0,0.0,
core,rule_context_02,Drop,,,0.0,482.0,
core,rule_context_03,Drop,,,,20.0,0.0
core,rule_context_03,Reset-Both,,,,2463.0,205.0
core,rule_context_04,Allow,2220.0,,,,
core,rule_context_05,Drop,,0.0,,117.0,0.0
core,rule_context_05,Reset-Both,,114.0,,0.0,2.0
core,rule_context_05,Reset-Server,,2.0,,0.0,412.0
core,rule_context_06,Drop,,0.0,,82.0,0.0
core,rule_context_06,Reset-Both,,87.0,,0.0,0.0
core,rule_context_06,Reset-Server,,36.0,,0.0,250.0
core,rule_context_07,Drop,,0.0,,48.0,0.0
core,rule_context_07,Reset-Both,,13.0,,0.0,0.0
core,rule_context_07,Reset-Server,,2.0,,0.0,50.0
no_threat_descriptors,__MISSING_RULE__,Allow,282.0,0.0,,0.0,0.0
no_threat_descriptors,__MISSING_RULE__,Drop,2.0,54717.0,,1516.0,103759.0
no_threat_descriptors,rule_context_01,Deny,,0.0,5930.0,,
no_threat_descriptors,rule_context_01,Drop,,23.0,0.0,,
no_threat_descriptors,rule_context_02,Deny,330.0,,3927.0,,
no_threat_descriptors,rule_context_02,Drop,482.0,,0.0,,
no_threat_descriptors,rule_context_03,Drop,0.0,,,20.0,
no_threat_descriptors,rule_context_03,Reset-Both,309.0,,,2359.0,
no_threat_descriptors,rule_context_04,Allow,16.0,,,2204.0,
no_threat_descriptors,rule_context_05,Drop,,6.0,,88.0,23.0
no_threat_descriptors,rule_context_05,Reset-Both,,110.0,,0.0,6.0
no_threat_descriptors,rule_context_05,Reset-Server,,2.0,,17.0,395.0
no_threat_descriptors,rule_context_06,Drop,,1.0,,59.0,22.0
no_threat_descriptors,rule_context_06,Reset-Both,,78.0,,0.0,9.0
no_threat_descriptors,rule_context_06,Reset-Server,,12.0,,17.0,257.0
no_threat_descriptors,rule_context_07,Drop,,0.0,1.0,36.0,11.0
no_threat_descriptors,rule_context_07,Reset-Both,,13.0,0.0,0.0,0.0
no_threat_descriptors,rule_context_07,Reset-Server,,4.0,0.0,2.0,46.0
minimal_context,__MISSING_RULE__,Allow,282.0,0.0,,0.0,0.0
minimal_context,__MISSING_RULE__,Drop,2.0,60314.0,,277.0,99401.0
minimal_context,rule_context_01,Deny,,0.0,5930.0,,
minimal_context,rule_context_01,Drop,,23.0,0.0,,
minimal_context,rule_context_02,Deny,405.0,,3852.0,,
minimal_context,rule_context_02,Drop,482.0,,0.0,,
minimal_context,rule_context_03,Drop,0.0,,,20.0,
minimal_context,rule_context_03,Reset-Both,495.0,,,2173.0,
minimal_context,rule_context_04,Allow,16.0,,,2204.0,
minimal_context,rule_context_05,Drop,,2.0,,51.0,64.0
minimal_context,rule_context_05,Reset-Both,,110.0,,0.0,6.0
minimal_context,rule_context_05,Reset-Server,,0.0,,15.0,399.0
minimal_context,rule_context_06,Drop,,0.0,,57.0,25.0
minimal_context,rule_context_06,Reset-Both,,79.0,,0.0,8.0
minimal_context,rule_context_06,Reset-Server,,16.0,,29.0,241.0
minimal_context,rule_context_07,Drop,,0.0,1.0,33.0,14.0
minimal_context,rule_context_07,Reset-Both,,13.0,0.0,0.0,0.0
minimal_context,rule_context_07,Reset-Server,,3.0,0.0,7.0,42.0
