feature_set,rule_group,is_missing_rule,features,train_rows,test_rows,test_classes,status,missing_classes,fit_seconds,predict_seconds,accuracy,balanced_accuracy,macro_f1_observed_classes,macro_f1_all_classes,weighted_f1,errors
core,__MISSING_RULE__,True,20,16880,160276,Allow;Drop,ok,,1.2917816548142582,1.2875035391189158,0.0017594649230078,0.5,0.0017564074616175,0.000702562984647,6.18067463845041e-06,159994
core,rule_context_01,False,20,171203,5953,Block;Drop,ok,,7.7356453749816865,0.0544147440232336,0.9029060977658324,0.4532040472175379,0.475453339230429,0.1901813356921716,0.9472327571431024,578
core,rule_context_02,False,20,172417,4739,Block;Drop,ok,,8.447602744912729,0.0434718909673392,1.0,1.0,1.0,0.4,1.0,0
core,rule_context_03,False,20,174468,2688,Drop;Reset-Both,ok,,8.29006465896964,0.0281685600057244,0.0074404761904761,0.5,0.0079904115061925,0.003196164602477,0.0001189049331278,2668
core,rule_context_04,False,20,174936,2220,Allow,ok,,8.023590880911797,0.0326791990082711,1.0,1.0,1.0,0.2,1.0,0
core,rule_context_05,False,20,176509,647,Drop;Reset-Both;Reset-Server,ok,,8.05427227797918,0.0140292400028556,0.9938176197836168,0.9926425676050864,0.9926425676050864,0.5955855405630518,0.9938176197836168,4
core,rule_context_06,False,20,176701,455,Drop;Reset-Both;Reset-Server,ok,,8.369837548118085,0.0128709501586854,0.9208791208791208,0.958041958041958,0.9204690831556503,0.5522814498933902,0.9250038660699642,36
core,rule_context_07,False,20,177043,113,Drop;Reset-Both;Reset-Server,ok,,8.232893076026812,0.011278216028586,0.9823008849557522,0.9871794871794872,0.969654528478058,0.5817927170868347,0.9827594754716046,2
no_threat_descriptors,__MISSING_RULE__,True,17,16880,160276,Allow;Drop,ok,,1.4995460889767855,1.1622248080093414,0.0112181486935037,0.5047376776629123,0.5076196312495173,0.2030478524998069,0.0204930489977351,158478
no_threat_descriptors,rule_context_01,False,17,171203,5953,Block;Drop,ok,,8.132988161873072,0.0557081960141658,0.9961364018142114,0.5,0.5,0.2,0.9961364018142114,23
no_threat_descriptors,rule_context_02,False,17,172417,4739,Block;Drop,ok,,8.381048578070477,0.0429132871795445,0.8286558345642541,0.4612403100775193,0.4798387096774194,0.1919354838709677,0.8620693762805547,812
no_threat_descriptors,rule_context_03,False,17,174468,2688,Drop;Reset-Both,ok,,8.0845916189719,0.0287841660901904,0.0074404761904761,0.5,0.0083368070029178,0.0033347228011671,0.0001240596280196,2668
no_threat_descriptors,rule_context_04,False,17,174936,2220,Allow,ok,,8.862750647123903,0.0249145328998565,0.0072072072072072,0.0072072072072072,0.0143112701252236,0.0028622540250447,0.0143112701252236,2204
no_threat_descriptors,rule_context_05,False,17,176509,647,Drop;Reset-Both;Reset-Server,ok,,8.19097947794944,0.0134592349641025,0.9165378670788252,0.8848396314663182,0.8918948322289612,0.5351368993373767,0.915151440491453,54
no_threat_descriptors,rule_context_06,False,17,176701,455,Drop;Reset-Both;Reset-Server,ok,,8.094420745968819,0.0138124381192028,0.865934065934066,0.838221772620427,0.8395701068984195,0.5037420641390516,0.86503786144412,61
no_threat_descriptors,rule_context_07,False,17,177043,113,Drop;Reset-Both;Reset-Server,ok,,8.471395544940606,0.0092933198902755,0.8407079646017699,0.8782051282051282,0.849304222079985,0.509582533247991,0.8437400127006666,18
minimal_context,__MISSING_RULE__,True,11,16880,160276,Allow;Drop,ok,,1.4377835800405592,1.0290429641027004,0.0034877336594374,0.5008656574621548,0.4999615382012088,0.1999846152804835,0.0052038111933094,159717
minimal_context,rule_context_01,False,11,171203,5953,Block;Drop,ok,,7.310246868059039,0.0560131990350782,0.9961364018142114,0.5,0.5,0.2,0.9961364018142114,23
minimal_context,rule_context_02,False,11,172417,4739,Block;Drop,ok,,7.495392542798072,0.0400263429619371,0.8128297109094745,0.452431289640592,0.4750277469478357,0.1900110987791343,0.8534260893677724,887
minimal_context,rule_context_03,False,11,174468,2688,Drop;Reset-Both,ok,,8.132965692086145,0.0268911500461399,0.0074404761904761,0.5,0.009037505648441,0.0036150022593764,0.000134486691197,2668
minimal_context,rule_context_04,False,11,174936,2220,Allow,ok,,8.417439100099728,0.0212578219361603,0.0072072072072072,0.0072072072072072,0.0143112701252236,0.0028622540250447,0.0143112701252236,2204
minimal_context,rule_context_05,False,11,176509,647,Drop;Reset-Both;Reset-Server,ok,,7.917112309020013,0.0173509090673178,0.865533230293663,0.7826471379694767,0.8086755297417435,0.4852053178450461,0.8520713519065924,87
minimal_context,rule_context_06,False,11,176701,455,Drop;Reset-Both;Reset-Server,ok,,7.845479508163407,0.0138168779667466,0.8285714285714286,0.8152750902961164,0.8024725274725274,0.4814835164835164,0.8293068469991547,78
minimal_context,rule_context_07,False,11,177043,113,Drop;Reset-Both;Reset-Server,ok,,7.915767760947347,0.0084765520878136,0.7787610619469026,0.8317307692307692,0.808109833971903,0.4848659003831417,0.779642627064049,25
