rule_group,records,nonzero_classes,dominant_class,dominant_fraction,is_missing_rule,class_Allow,class_Block,class_Drop,class_Reset-Both,class_Reset-Server
__MISSING_RULE__,160276,2,Drop,0.9982405350769922,True,282,0,159994,0,0
rule_context_01,5953,2,Block,0.9961364018142114,False,0,5930,23,0,0
rule_context_02,4739,2,Block,0.8982907786452838,False,0,4257,482,0,0
rule_context_03,2688,2,Reset-Both,0.9925595238095238,False,0,0,20,2668,0
rule_context_04,2220,1,Allow,1.0,False,2220,0,0,0,0
rule_context_05,647,3,Reset-Server,0.6398763523956723,False,0,0,117,116,414
rule_context_06,455,3,Reset-Server,0.6285714285714286,False,0,0,82,87,286
rule_context_07,113,3,Reset-Server,0.4601769911504424,False,0,0,48,13,52
rule_context_08,22,3,Reset-Server,0.6363636363636364,False,0,0,5,3,14
rule_context_09,17,1,Drop,1.0,False,0,0,17,0,0
rule_context_10,11,2,Reset-Both,0.6363636363636364,False,0,0,0,7,4
rule_context_11,8,1,Reset-Both,1.0,False,0,0,0,8,0
rule_context_12,5,2,Reset-Server,0.8,False,0,0,0,1,4
rule_context_13,1,1,Reset-Server,1.0,False,0,0,0,0,1
rule_context_14,1,1,Reset-Server,1.0,False,0,0,0,0,1
