split,feature_set,class,recall_ci_low_95,recall_ci_high_95,recall_bootstrap_mean,point_recall,test_support,bootstrap_iterations,uncertainty_scope
stratified_holdout,core,Allow,1.0,1.0,1.0,1.0,500,1000,test_set_bootstrap_fixed_fitted_model
stratified_holdout,core,Deny,1.0,1.0,1.0,1.0,2038,1000,test_set_bootstrap_fixed_fitted_model
stratified_holdout,core,Drop,1.0,1.0,1.0,1.0,32158,1000,test_set_bootstrap_fixed_fitted_model
stratified_holdout,core,Reset-Both,0.9910208955807459,1.0,0.9964349357612486,0.9965576592082617,581,1000,test_set_bootstrap_fixed_fitted_model
stratified_holdout,core,Reset-Server,0.9775259778660133,1.0,0.9935454180114225,0.9935483870967742,155,1000,test_set_bootstrap_fixed_fitted_model
stratified_holdout,no_threat_descriptors,Allow,1.0,1.0,1.0,1.0,500,1000,test_set_bootstrap_fixed_fitted_model
stratified_holdout,no_threat_descriptors,Deny,1.0,1.0,1.0,1.0,2038,1000,test_set_bootstrap_fixed_fitted_model
stratified_holdout,no_threat_descriptors,Drop,0.9995647977319335,0.9999066990835496,0.9997519482874827,0.9997512283102183,32158,1000,test_set_bootstrap_fixed_fitted_model
stratified_holdout,no_threat_descriptors,Reset-Both,0.9915095845486338,1.0,0.9965838201743294,0.9965576592082617,581,1000,test_set_bootstrap_fixed_fitted_model
stratified_holdout,no_threat_descriptors,Reset-Server,0.9447505498321564,0.9940828402366864,0.9736627047672722,0.9741935483870968,155,1000,test_set_bootstrap_fixed_fitted_model
stratified_holdout,minimal_context,Allow,1.0,1.0,1.0,1.0,500,1000,test_set_bootstrap_fixed_fitted_model
stratified_holdout,minimal_context,Deny,1.0,1.0,1.0,1.0,2038,1000,test_set_bootstrap_fixed_fitted_model
stratified_holdout,minimal_context,Drop,0.9992550562873966,0.9997512207674625,0.999526847117987,0.9995335530816593,32158,1000,test_set_bootstrap_fixed_fitted_model
stratified_holdout,minimal_context,Reset-Both,0.9911186102665562,1.0,0.9965531664679237,0.9965576592082617,581,1000,test_set_bootstrap_fixed_fitted_model
stratified_holdout,minimal_context,Reset-Server,0.8951038159371493,0.9704142011834319,0.9353339705306488,0.9354838709677419,155,1000,test_set_bootstrap_fixed_fitted_model
chronological_holdout,core,Allow,1.0,1.0,1.0,1.0,2423,1000,test_set_bootstrap_fixed_fitted_model
chronological_holdout,core,Deny,1.0,1.0,1.0,1.0,2709,1000,test_set_bootstrap_fixed_fitted_model
chronological_holdout,core,Drop,1.0,1.0,1.0,1.0,29372,1000,test_set_bootstrap_fixed_fitted_model
chronological_holdout,core,Reset-Both,0.18181818181818182,0.2793128803245436,0.22940792373975297,0.22945205479452055,292,1000,test_set_bootstrap_fixed_fitted_model
chronological_holdout,core,Reset-Server,0.9697896363777725,0.9910273069356266,0.9815249004666623,0.9811023622047244,635,1000,test_set_bootstrap_fixed_fitted_model
chronological_holdout,no_threat_descriptors,Allow,1.0,1.0,1.0,1.0,2423,1000,test_set_bootstrap_fixed_fitted_model
chronological_holdout,no_threat_descriptors,Deny,1.0,1.0,1.0,1.0,2709,1000,test_set_bootstrap_fixed_fitted_model
chronological_holdout,no_threat_descriptors,Drop,0.9992555400300053,0.9997283194676401,0.9995230687717053,0.9995233555767398,29372,1000,test_set_bootstrap_fixed_fitted_model
chronological_holdout,no_threat_descriptors,Reset-Both,0.18456375838926176,0.28774108089014483,0.23357735694056145,0.2328767123287671,292,1000,test_set_bootstrap_fixed_fitted_model
chronological_holdout,no_threat_descriptors,Reset-Server,0.6697240756185711,0.739204308373255,0.705218416987502,0.705511811023622,635,1000,test_set_bootstrap_fixed_fitted_model
chronological_holdout,minimal_context,Allow,1.0,1.0,1.0,1.0,2423,1000,test_set_bootstrap_fixed_fitted_model
chronological_holdout,minimal_context,Deny,1.0,1.0,1.0,1.0,2709,1000,test_set_bootstrap_fixed_fitted_model
chronological_holdout,minimal_context,Drop,0.9973325413418805,0.9984012150689241,0.9978889004798855,0.9978891461255618,29372,1000,test_set_bootstrap_fixed_fitted_model
chronological_holdout,minimal_context,Reset-Both,0.18811382816133962,0.28763035456441516,0.23638408573259595,0.2363013698630137,292,1000,test_set_bootstrap_fixed_fitted_model
chronological_holdout,minimal_context,Reset-Server,0.6645393319961548,0.7335531207298449,0.6991709785508438,0.6992125984251969,635,1000,test_set_bootstrap_fixed_fitted_model
