feature_set,class,precision,recall,f1,support
core,Allow,1.0,1.0,1.0,2220
core,Block,1.0,0.9455187984686365,0.9719965689489883,10187
core,Drop,0.23318804483188044,0.9702072538860104,0.37600401606425704,772
core,Reset-Both,0.25721153846153844,0.07420249653259361,0.11517761033369214,2884
core,Reset-Server,0.7747551686615887,0.9468085106382979,0.8521843207660084,752
minimal_context,Allow,0.011444921316165951,0.007207207207207207,0.008844665561083471,2220
minimal_context,Block,0.9998977818665031,0.9602434475311672,0.9796695042563845,10187
minimal_context,Drop,0.03508389627369797,0.20854922279792745,0.060063421003544115,772
minimal_context,Reset-Both,0.8211382113821138,0.07004160887656033,0.129073482428115,2884
minimal_context,Reset-Server,0.853566958698373,0.9069148936170213,0.8794326241134752,752
no_threat_descriptors,Allow,0.014072119613016711,0.007207207207207207,0.009532320524277629,2220
no_threat_descriptors,Block,0.9998985595455467,0.9676057720624325,0.9834871539037167,10187
no_threat_descriptors,Drop,0.04227405247813411,0.26295336787564766,0.07283817725152494,772
no_threat_descriptors,Reset-Both,0.8072289156626506,0.06969486823855756,0.12831152250239386,2884
no_threat_descriptors,Reset-Server,0.9076723016905072,0.9281914893617021,0.9178172255095332,752
