feature_set,class,precision,recall,f1,support
core,Allow,1.0,1.0,1.0,2220
core,Block,1.0,0.9455187984686365,0.9719965689489883,10187
core,Drop,1.0,0.9694148936170213,0.9844699527346388,752
core,Reset-Both,0.25721153846153844,0.9907407407407407,0.4083969465648855,216
core,Reset-Server,0.9971988795518207,0.9468085106382979,0.9713506139154161,752
minimal_context,Allow,0.017718715393133997,0.007207207207207207,0.010246557796990073,2220
minimal_context,Block,0.9998977818665031,0.9602434475311672,0.9796695042563845,10187
minimal_context,Drop,0.05884808013355593,0.1875,0.08958068614993647,752
minimal_context,Reset-Both,0.8211382113821138,0.9351851851851852,0.8744588744588745,216
minimal_context,Reset-Server,0.853566958698373,0.9069148936170213,0.8794326241134752,752
no_threat_descriptors,Allow,0.01932367149758454,0.007207207207207207,0.010498687664041995,2220
no_threat_descriptors,Block,0.9998985595455467,0.9676057720624325,0.9834871539037167,10187
no_threat_descriptors,Drop,0.07552620718118036,0.24335106382978725,0.1152755905511811,752
no_threat_descriptors,Reset-Both,0.8072289156626506,0.9305555555555556,0.864516129032258,216
no_threat_descriptors,Reset-Server,0.9076723016905072,0.9281914893617021,0.9178172255095332,752
