dimension,value,rows,missing_rule_rows,missing_rule_fraction
overall,all_rows,177156,160276,0.90471674682201
target,Allow,2502,282,0.11270983213429256
target,Block,10187,0,0.0
target,Drop,160788,159994,0.9950618205338707
target,Reset-Both,2903,0,0.0
target,Reset-Server,776,0,0.0
threat_content_type,flood,2504,284,0.1134185303514377
threat_content_type,packet,159992,159992,1.0
threat_content_type,spyware,13196,0,0.0
threat_content_type,vulnerability,1464,0,0.0
generate_hour,13,23457,21622,0.9217717525685296
generate_hour,14,48198,44790,0.9292916718536038
generate_hour,15,39860,36913,0.9260662318113397
generate_hour,16,27441,25032,0.9122116540942385
generate_hour,17,16585,15849,0.9556225504974375
generate_hour,18,11131,9581,0.8607492588267002
generate_hour,19,9956,6034,0.6060666934511852
generate_hour,20,528,455,0.8617424242424242
