configuration,true,predicted,count
core_without_policy_fields,Allow,Allow,500
core_without_policy_fields,Allow,Block,0
core_without_policy_fields,Allow,Drop,0
core_without_policy_fields,Allow,Reset-Both,0
core_without_policy_fields,Allow,Reset-Server,0
core_without_policy_fields,Block,Allow,0
core_without_policy_fields,Block,Block,2038
core_without_policy_fields,Block,Drop,0
core_without_policy_fields,Block,Reset-Both,0
core_without_policy_fields,Block,Reset-Server,0
core_without_policy_fields,Drop,Allow,0
core_without_policy_fields,Drop,Block,0
core_without_policy_fields,Drop,Drop,32158
core_without_policy_fields,Drop,Reset-Both,0
core_without_policy_fields,Drop,Reset-Server,0
core_without_policy_fields,Reset-Both,Allow,0
core_without_policy_fields,Reset-Both,Block,0
core_without_policy_fields,Reset-Both,Drop,0
core_without_policy_fields,Reset-Both,Reset-Both,579
core_without_policy_fields,Reset-Both,Reset-Server,2
core_without_policy_fields,Reset-Server,Allow,0
core_without_policy_fields,Reset-Server,Block,0
core_without_policy_fields,Reset-Server,Drop,0
core_without_policy_fields,Reset-Server,Reset-Both,0
core_without_policy_fields,Reset-Server,Reset-Server,155
with_policy_most_frequent_rule_imputation,Allow,Allow,500
with_policy_most_frequent_rule_imputation,Allow,Block,0
with_policy_most_frequent_rule_imputation,Allow,Drop,0
with_policy_most_frequent_rule_imputation,Allow,Reset-Both,0
with_policy_most_frequent_rule_imputation,Allow,Reset-Server,0
with_policy_most_frequent_rule_imputation,Block,Allow,0
with_policy_most_frequent_rule_imputation,Block,Block,2038
with_policy_most_frequent_rule_imputation,Block,Drop,0
with_policy_most_frequent_rule_imputation,Block,Reset-Both,0
with_policy_most_frequent_rule_imputation,Block,Reset-Server,0
with_policy_most_frequent_rule_imputation,Drop,Allow,0
with_policy_most_frequent_rule_imputation,Drop,Block,0
with_policy_most_frequent_rule_imputation,Drop,Drop,32158
with_policy_most_frequent_rule_imputation,Drop,Reset-Both,0
with_policy_most_frequent_rule_imputation,Drop,Reset-Server,0
with_policy_most_frequent_rule_imputation,Reset-Both,Allow,0
with_policy_most_frequent_rule_imputation,Reset-Both,Block,0
with_policy_most_frequent_rule_imputation,Reset-Both,Drop,0
with_policy_most_frequent_rule_imputation,Reset-Both,Reset-Both,579
with_policy_most_frequent_rule_imputation,Reset-Both,Reset-Server,2
with_policy_most_frequent_rule_imputation,Reset-Server,Allow,0
with_policy_most_frequent_rule_imputation,Reset-Server,Block,0
with_policy_most_frequent_rule_imputation,Reset-Server,Drop,0
with_policy_most_frequent_rule_imputation,Reset-Server,Reset-Both,0
with_policy_most_frequent_rule_imputation,Reset-Server,Reset-Server,155
with_policy_explicit_missing_rule,Allow,Allow,500
with_policy_explicit_missing_rule,Allow,Block,0
with_policy_explicit_missing_rule,Allow,Drop,0
with_policy_explicit_missing_rule,Allow,Reset-Both,0
with_policy_explicit_missing_rule,Allow,Reset-Server,0
with_policy_explicit_missing_rule,Block,Allow,0
with_policy_explicit_missing_rule,Block,Block,2038
with_policy_explicit_missing_rule,Block,Drop,0
with_policy_explicit_missing_rule,Block,Reset-Both,0
with_policy_explicit_missing_rule,Block,Reset-Server,0
with_policy_explicit_missing_rule,Drop,Allow,0
with_policy_explicit_missing_rule,Drop,Block,0
with_policy_explicit_missing_rule,Drop,Drop,32158
with_policy_explicit_missing_rule,Drop,Reset-Both,0
with_policy_explicit_missing_rule,Drop,Reset-Server,0
with_policy_explicit_missing_rule,Reset-Both,Allow,0
with_policy_explicit_missing_rule,Reset-Both,Block,0
with_policy_explicit_missing_rule,Reset-Both,Drop,0
with_policy_explicit_missing_rule,Reset-Both,Reset-Both,579
with_policy_explicit_missing_rule,Reset-Both,Reset-Server,2
with_policy_explicit_missing_rule,Reset-Server,Allow,0
with_policy_explicit_missing_rule,Reset-Server,Block,0
with_policy_explicit_missing_rule,Reset-Server,Drop,0
with_policy_explicit_missing_rule,Reset-Server,Reset-Both,0
with_policy_explicit_missing_rule,Reset-Server,Reset-Server,155
