run_id,feature_set,split,confidence_decile,rows,confidence_min,confidence_max,error_rate
stratified_holdout__core,core,stratified_holdout,0,3553,0.3946367145383848,0.9999984052455354,0.0008443568815085843
stratified_holdout__core,core,stratified_holdout,1,4553,0.9999984137999763,0.9999989566538663,0.0
stratified_holdout__core,core,stratified_holdout,2,12270,0.9999989592149156,0.9999989708474691,0.0
stratified_holdout__core,core,stratified_holdout,3,1672,0.9999989712034151,0.999998973330167,0.0
stratified_holdout__core,core,stratified_holdout,4,9490,0.9999989738268997,0.999998983536407,0.0
stratified_holdout__core,core,stratified_holdout,5,1667,0.9999989878775134,0.9999989977185909,0.0
stratified_holdout__core,core,stratified_holdout,6,2227,0.999999002528683,0.999999064179659,0.0
stratified_holdout__drop_threat_descriptors,drop_threat_descriptors,stratified_holdout,0,3544,0.4704302637671214,0.9999788066351327,0.0039503386004514675
stratified_holdout__drop_threat_descriptors,drop_threat_descriptors,stratified_holdout,1,3995,0.9999790828424259,0.9999965764592946,0.0
stratified_holdout__drop_threat_descriptors,drop_threat_descriptors,stratified_holdout,2,12657,0.9999965772211644,0.9999983562989183,0.0
stratified_holdout__drop_threat_descriptors,drop_threat_descriptors,stratified_holdout,3,1927,0.9999983567773687,0.9999985002054179,0.0
stratified_holdout__drop_threat_descriptors,drop_threat_descriptors,stratified_holdout,4,2745,0.9999985098907622,0.9999986518057185,0.0
stratified_holdout__drop_threat_descriptors,drop_threat_descriptors,stratified_holdout,5,7983,0.9999986605639769,0.9999988210452089,0.0
stratified_holdout__drop_threat_descriptors,drop_threat_descriptors,stratified_holdout,6,2581,0.9999988325800185,0.9999992103000255,0.0
chronological_80_20__core,core,chronological_80_20,0,3561,0.5877698330025264,0.9996570558633564,0.06655433866891322
chronological_80_20__core,core,chronological_80_20,1,3546,0.9996984042902495,0.9999968984140959,0.0
chronological_80_20__core,core,chronological_80_20,2,3560,0.9999969004647798,0.9999977976436977,0.0
chronological_80_20__core,core,chronological_80_20,3,9215,0.9999977983298317,0.9999988464495129,0.0
chronological_80_20__core,core,chronological_80_20,4,2000,0.9999988536450752,0.9999989112565753,0.0
chronological_80_20__core,core,chronological_80_20,5,6800,0.9999989197235033,0.9999989219482546,0.0
chronological_80_20__core,core,chronological_80_20,6,3516,0.999998925662618,0.999998925662618,0.0
chronological_80_20__core,core,chronological_80_20,7,3233,0.9999989259973828,0.9999990140120331,0.0
chronological_80_20__drop_threat_descriptors,drop_threat_descriptors,chronological_80_20,0,3545,0.40143837358815665,0.9993828846080621,0.11988716502115655
chronological_80_20__drop_threat_descriptors,drop_threat_descriptors,chronological_80_20,1,3676,0.9993863839249422,0.9999901149019699,0.0
chronological_80_20__drop_threat_descriptors,drop_threat_descriptors,chronological_80_20,2,3416,0.9999901255302202,0.9999971248308535,0.0
chronological_80_20__drop_threat_descriptors,drop_threat_descriptors,chronological_80_20,3,8392,0.999997145596917,0.9999985693223723,0.0
chronological_80_20__drop_threat_descriptors,drop_threat_descriptors,chronological_80_20,4,7386,0.9999986053058192,0.9999989531734823,0.0
chronological_80_20__drop_threat_descriptors,drop_threat_descriptors,chronological_80_20,5,4548,0.9999989617928118,0.9999989920700024,0.0
chronological_80_20__drop_threat_descriptors,drop_threat_descriptors,chronological_80_20,6,933,0.9999989932942378,0.9999990452849455,0.0
chronological_80_20__drop_threat_descriptors,drop_threat_descriptors,chronological_80_20,7,3535,0.9999990465400932,0.9999992485932468,0.0
