run_id,feature_set,split,true,predicted,count
stratified_holdout__core,core,stratified_holdout,Allow,Allow,500
stratified_holdout__core,core,stratified_holdout,Block,Block,2038
stratified_holdout__core,core,stratified_holdout,Drop,Drop,32158
stratified_holdout__core,core,stratified_holdout,Reset-Both,Reset-Both,579
stratified_holdout__core,core,stratified_holdout,Reset-Both,Reset-Server,2
stratified_holdout__core,core,stratified_holdout,Reset-Server,Reset-Server,155
stratified_holdout__drop_threat_descriptors,drop_threat_descriptors,stratified_holdout,Allow,Allow,500
stratified_holdout__drop_threat_descriptors,drop_threat_descriptors,stratified_holdout,Block,Block,2038
stratified_holdout__drop_threat_descriptors,drop_threat_descriptors,stratified_holdout,Drop,Drop,32150
stratified_holdout__drop_threat_descriptors,drop_threat_descriptors,stratified_holdout,Drop,Reset-Server,8
stratified_holdout__drop_threat_descriptors,drop_threat_descriptors,stratified_holdout,Reset-Both,Reset-Both,579
stratified_holdout__drop_threat_descriptors,drop_threat_descriptors,stratified_holdout,Reset-Both,Reset-Server,2
stratified_holdout__drop_threat_descriptors,drop_threat_descriptors,stratified_holdout,Reset-Server,Drop,5
stratified_holdout__drop_threat_descriptors,drop_threat_descriptors,stratified_holdout,Reset-Server,Reset-Server,150
stratified_holdout__drop_application_context,drop_application_context,stratified_holdout,Allow,Allow,500
stratified_holdout__drop_application_context,drop_application_context,stratified_holdout,Block,Block,2038
stratified_holdout__drop_application_context,drop_application_context,stratified_holdout,Drop,Drop,32158
stratified_holdout__drop_application_context,drop_application_context,stratified_holdout,Reset-Both,Reset-Both,579
stratified_holdout__drop_application_context,drop_application_context,stratified_holdout,Reset-Both,Reset-Server,2
stratified_holdout__drop_application_context,drop_application_context,stratified_holdout,Reset-Server,Reset-Server,155
stratified_holdout__drop_zones_interfaces,drop_zones_interfaces,stratified_holdout,Allow,Allow,500
stratified_holdout__drop_zones_interfaces,drop_zones_interfaces,stratified_holdout,Block,Block,2038
stratified_holdout__drop_zones_interfaces,drop_zones_interfaces,stratified_holdout,Drop,Drop,32158
stratified_holdout__drop_zones_interfaces,drop_zones_interfaces,stratified_holdout,Reset-Both,Reset-Both,579
stratified_holdout__drop_zones_interfaces,drop_zones_interfaces,stratified_holdout,Reset-Both,Reset-Server,2
stratified_holdout__drop_zones_interfaces,drop_zones_interfaces,stratified_holdout,Reset-Server,Drop,2
stratified_holdout__drop_zones_interfaces,drop_zones_interfaces,stratified_holdout,Reset-Server,Reset-Server,153
stratified_holdout__drop_network_endpoint_context,drop_network_endpoint_context,stratified_holdout,Allow,Allow,500
stratified_holdout__drop_network_endpoint_context,drop_network_endpoint_context,stratified_holdout,Block,Block,2038
stratified_holdout__drop_network_endpoint_context,drop_network_endpoint_context,stratified_holdout,Drop,Drop,32158
stratified_holdout__drop_network_endpoint_context,drop_network_endpoint_context,stratified_holdout,Reset-Both,Reset-Both,579
stratified_holdout__drop_network_endpoint_context,drop_network_endpoint_context,stratified_holdout,Reset-Both,Reset-Server,2
stratified_holdout__drop_network_endpoint_context,drop_network_endpoint_context,stratified_holdout,Reset-Server,Reset-Server,155
stratified_holdout__drop_direction,drop_direction,stratified_holdout,Allow,Allow,500
stratified_holdout__drop_direction,drop_direction,stratified_holdout,Block,Block,2038
stratified_holdout__drop_direction,drop_direction,stratified_holdout,Drop,Drop,32158
stratified_holdout__drop_direction,drop_direction,stratified_holdout,Reset-Both,Reset-Both,579
