class,test_index,feature_rule,weight
Allow,175,Threat/Content Type=0,0.18756914282200024
Allow,175,Threat/Content Name=103,0.07485910755593618
Allow,175,Source Country=32,0.045370595633801726
Allow,175,Destination Country=0,0.03213716668501299
Allow,175,Severity=1,0.026013436215800066
Allow,175,Destination Zone=0,0.017233280972083806
Allow,175,Subcategory of app=5,-0.010896471913030463
Deny,6,Destination Country=14,0.22549438100811917
Deny,6,Direction=1,0.1461659257688788
Deny,6,Threat/Content Name=65,0.11181553564683604
Deny,6,Subcategory of app=2,0.10307184862321071
Deny,6,IP Protocol=2,0.028994177685548544
Deny,6,Source Country=4,0.027569699821926218
Deny,6,Risk of app > 1.00,0.023242079900971352
Drop,0,Subcategory of app=5,0.1303072888344849
Drop,0,Severity=3,0.08849773549693611
Drop,0,Direction=0,0.08713914156957929
Drop,0,Category=0,0.04005305090648058
Drop,0,Threat/Content Type=1,0.030006121809995772
Drop,0,Outbound Interface=2,0.02698811524670083
Drop,0,Source Zone=2,-0.009150346256308724
Reset-Both,160,Threat/Content Name=113,0.07385107029250355
Reset-Both,160,Destination Country=6,0.06038918645935935
Reset-Both,160,Subcategory of app=4,0.05407627799638353
Reset-Both,160,Application=1,0.053266086346338316
Reset-Both,160,Severity=1,0.04737981042324891
Reset-Both,160,Source Zone=1,0.046507511813530064
Reset-Both,160,Source Country=1,0.026053870150330692
Reset-Server,382,Threat/Content Name=114,0.19157406938634045
Reset-Server,382,Category of app=1,0.057928098931880494
Reset-Server,382,Category=4,0.057717708144406875
Reset-Server,382,Subcategory of app=3,0.05697190483827008
Reset-Server,382,Application=7,0.04729258248452637
Reset-Server,382,Technology of app=0,0.039647855355607116
Reset-Server,382,Threat/Content Type=3,0.03698435274479513
